bus_route_name,bus_name,bus_type,departure_time,duration,reaching_time,star_rating,price,seat_availability
Goa to Satara,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),2024-07-18 21:35:00,09h 00m,2024-07-18 06:35:00,4.1,424,"27 Seats available
7 Single"
Goa to Satara,Atmaram Gobus,NON A/C Sleeper (2+1),2024-07-18 20:01:00,09h 40m,2024-07-18 05:41:00,4.4,404,"13 Seats available
4 Single"
Goa to Satara,Amrutyog Travels,A/C Sleeper (2+1),2024-07-18 19:00:00,10h 00m,2024-07-18 05:00:00,4.4,399,"20 Seats available
4 Single"
Goa to Satara,Atmaram Gobus,NON A/C Sleeper (2+1),2024-07-18 21:02:00,09h 15m,2024-07-18 06:17:00,4.6,450,"16 Seats available
5 Single"
Goa to Satara,Atmaram Travels(KVT Narmada Red),Bharat Benz A/C Sleeper (2+1),2024-07-18 21:16:00,08h 45m,2024-07-18 06:01:00,4.0,440,"14 Seats available
2 Single"
Belagavi to Marcel,Kadamba Transport Corporation Limited (KTCL) - 6020,Non AC Seater 2+2,2024-07-18 16:00:00,02h 45m,2024-07-18 18:45:00,3.3,140,20 Seats available
Mopa Airport to Goa,Kadamba Transport Corporation Limited (KTCL) - 159015,A/C Seater (2+3),2024-07-18 16:00:00,02h 00m,2024-07-18 18:00:00,4.7,400,"47 Seats available
20 Window"
Mopa Airport to Goa,Kadamba Transport Corporation Limited (KTCL) - 159015,A/C Seater (2+3),2024-07-18 16:00:00,00h 25m,2024-07-18 16:25:00,3.7,150,"47 Seats available
20 Window"
Mopa Airport to Goa,Kadamba Transport Corporation Limited (KTCL) - 160437,A/C Seater (2+3),2024-07-18 17:30:00,00h 30m,2024-07-18 18:00:00,3.7,150,"47 Seats available
20 Window"
Shirdi to Goa,PSR Travels Goa,A/C Sleeper (2+1),2024-07-18 18:00:00,15h 00m,2024-07-18 09:00:00,3.6,1199,"13 Seats available
2 Single"
Shirdi to Goa,Humsafar Travels,A/C Sleeper (2+1),2024-07-18 16:00:00,17h 00m,2024-07-18 09:00:00,3.3,1215,"9 Seats available
1 Single"
Goa to Shivamogga,Oops! No buses found.,,,,,,,
Goa to Shirdi,PSR Travels Goa,A/C Sleeper (2+1),2024-07-18 19:15:00,14h 45m,2024-07-18 10:00:00,3.8,1099,"17 Seats available
6 Single"
Goa to Shirdi,Humsafar Travels,A/C Sleeper (2+1),2024-07-18 19:00:00,16h 00m,2024-07-18 11:00:00,1.8,1035,"15 Seats available
3 Single"
Goa to Goa Airport,Kadamba Transport Corporation Limited (KTCL) - 99718,AC Seater (2+2),2024-07-18 16:01:00,01h 14m,2024-07-18 17:15:00,3.7,150,"41 Seats available
19 Window"
Margao to Mopa Airport,Kadamba Transport Corporation Limited (KTCL) - 158967,A/C Seater (2+3),2024-07-18 15:55:00,01h 05m,2024-07-18 17:00:00,3.6,200,"46 Seats available
20 Window"
Goa Airport to Goa,Oops! No buses found.,,,,,,,
Mopa Airport to Margao,Kadamba Transport Corporation Limited (KTCL) - 159015,A/C Seater (2+3),2024-07-18 16:00:00,02h 00m,2024-07-18 18:00:00,4.7,400,"47 Seats available
20 Window"
Mopa Airport to Margao,Kadamba Transport Corporation Limited (KTCL) - 159015,A/C Seater (2+3),2024-07-18 16:00:00,00h 25m,2024-07-18 16:25:00,3.7,150,"47 Seats available
20 Window"
